patient_id	SLC7A11	ABCC1	ABCC2	ABCC3	GGT1	GGT5	DPEP1	SLC1A4	SLC1A5
TCGA-86-8358	5.77002820732246	5.39825458885388	2.47645945878856	4.29900282050038	0.120750053334926	4.23208509872283	3.46573943621404	5.60620531294249	8.21038204529488
TCGA-86-A4D0	5.85764266834709	5.02630875131095	6.5233957229213	4.43166975629114	0.208392399790676	2.77848194751581	1.57898700333258	5.5698616828236	7.56011115807696
TCGA-73-4666	5.93444809225297	5.93343100548696	1.0797706277966	6.29639316379529	0.421802281157266	4.269721405202	0.421371433000894	2.99568349757459	7.13009584962702
TCGA-NJ-A4YQ	1.82285249145293	4.7174516055631	0.625925048499654	6.79674828648031	0.260146126508967	3.71956679369399	2.3593243747517	3.96298389430188	6.50858869659716
TCGA-86-7714	2.92780166119021	4.58741900097109	0.449957483628004	7.24730379268773	0.727441291363403	6.9494789049372	1.32992726217947	4.64218746960126	6.46887000298206
TCGA-91-8499	2.75670308634617	4.78685246979858	0.29018845733752	1.59459632011842	0.104068226463717	3.62282495538727	1.13487805434311	4.00261251788184	6.9858851887507
TCGA-55-7227	2.793583802285	4.65958210596396	0.397255345594427	7.12214361982949	0.139338513601429	5.24593674001195	2.33691175181291	4.40144615898487	6.47456745685566
TCGA-78-7158	2.74646326327429	4.73674015545321	0.67771118626068	3.90494645693941	0.747774071742705	3.07184845974646	2.2968097783911	3.66210293474907	8.00109569391683
TCGA-62-A46Y	1.320715721785	4.62813782959442	0.360982241368626	7.29669783650952	0.135666196969044	4.61449784069632	1.58298946895292	4.19002217480265	6.85853185021074
TCGA-97-A4M3	6.77787073379607	6.03212068449661	0.823178690095637	6.96863914847448	0.175939705406043	4.13857694846446	2.40648224839257	3.77630405599415	7.4439927991782
TCGA-L9-A7SV	0.910502426238799	5.08923541811619	0.393306360352653	8.18158562159876	2.2050483772943	2.12614690155444	0.706817847339762	3.76150868228585	7.41794616047202
TCGA-49-AAR3	5.47625854122544	5.24226713371412	1.57985595135068	4.99592766120085	0.387362540835996	5.152219932247	0.768332557385821	3.26464151421962	6.04353917857297
TCGA-73-4662	1.10238938548844	4.85211372861074	0.273098089178491	8.15900697418905	0.761966030736944	4.37008056273169	1.67074971148749	4.51712448580564	6.33468267993572
TCGA-97-A4M5	7.23933216096067	5.1714590527809	2.01592568999025	5.88687444900653	0.991027447000661	4.66329337830076	2.40012801480873	4.14638640226843	6.98027669857205
TCGA-97-7547	4.54383610157165	6.03863590804574	0.398788147633769	6.77846354916258	0.565889584403189	3.54384228661355	0.898247056081868	5.96462042605023	7.11176374501071
TCGA-44-6145	5.49608200370809	6.53218758481082	5.41789976026568	6.96188258266238	0.140909506541662	4.43626846471939	1.48717760838915	4.45332002643327	7.27218092853644
TCGA-35-5375	4.28845454178256	5.24523703761879	0.141825129700028	4.60805813624278	0	3.67467532235016	0.979659551715825	2.46803584917242	7.98023613498684
TCGA-49-4486	3.57572377898527	3.27282943922131	0.055889758196283	5.94046042886366	0.0878701329410572	2.30261150889447	0.248899107076326	1.9324013894893	6.18971585858338
TCGA-62-8399	0.857662572118855	5.72544397215671	0.472695712518291	6.02789494139311	0.874521578600167	4.46901332460914	7.91312816929031	2.87056199772413	7.14005671873355
TCGA-80-5611	5.30785107094549	5.21740134747869	0.170694233687083	5.87172785378914	0.124328135002202	4.8527279931099	0.781989115864704	4.00212640734513	7.75386122074663
TCGA-86-8281	5.30216183030245	4.50968317554731	0.733180772875301	7.28638679962438	0.730400845399368	3.91460279075939	2.77336342532437	3.51451366043187	7.79028137036174
TCGA-69-A59K	4.32601954169512	5.82890825448023	0.467383830757731	7.21998452583507	0.39539189392821	3.72395167234112	1.81545246665892	4.27173940125722	6.31755913710558
TCGA-44-3918	2.1178675922734	4.56406624357808	0.776024134183952	5.27288549798846	0.744516916711084	2.10831831120264	0.119290722157049	4.40286871303953	5.0243148818877
TCGA-44-4112	3.25805677431401	4.33072189148264	0.83576988232956	5.81058535411905	0.425456165246326	3.54076362392466	0.950554980943549	3.93970345758036	6.28074232262159
TCGA-MP-A4T9	1.88600379018266	5.26592816288096	0.535953400599432	6.06232250408659	1.28924428515664	4.67437025430211	2.19203631255154	4.55457043417658	6.93425110243425
TCGA-67-3772	1.47071906135082	4.3453183053655	0.197488002405981	5.55210650966316	0.838830781162876	4.94728743470519	4.59278590435097	4.25249892164341	6.40723206825573
TCGA-44-8117	0.672832633662213	4.68549729529204	0.289008145530796	7.82761200334593	1.7074364418968	4.04684025420297	1.19370867338242	4.71366832420338	7.65389981565073
TCGA-55-8208	4.99406373724062	5.26374806277637	3.87533775224191	5.89935208875362	0.59569460683892	4.73063452202693	1.76655276007631	4.65712548179812	6.25231346653318
TCGA-75-5122	3.87119310655442	5.31420346018915	0.323312417757903	5.9082773206627	0.349252031780671	5.08525467745532	0.781905211416113	5.13502996949035	7.59208846757303
TCGA-49-AAR4	1.32803219030386	4.17936772907588	1.11523304836736	5.2685317078302	0.731009412420729	3.77878680035692	1.43690805171415	3.98658386624867	6.44855245592838
TCGA-69-7761	2.90694830225603	5.2082011869482	1.82423832660371	7.77807187141173	1.01927491314477	3.78351951551974	2.90540866784672	4.08892177125151	6.28494529308223
TCGA-50-6595	2.75516532778899	5.7932222249046	0.399553938384354	4.24921776871517	0.176195094863408	6.15121751248744	1.34289603673962	4.50247700262652	7.81398507770851
TCGA-44-6148	0.83244448164531	5.08505492677437	0.423954594014897	5.239860076055	0.342213373458323	6.08441936564656	0.632454357689422	4.10327102059023	6.55306247123562
TCGA-MP-A4TF	3.91575033698668	4.69896297459773	1.84120830798931	5.50251837410449	0.179128828772152	4.57723544862026	0.979732708838676	4.28162407363973	6.05928388529047
